center,left,right,steering
center_2025_04_30_18_11_13_885.jpg,left_2025_04_30_18_11_13_885.jpg,right_2025_04_30_18_11_13_885.jpg,0.0
center_2025_04_30_18_11_13_950.jpg,left_2025_04_30_18_11_13_950.jpg,right_2025_04_30_18_11_13_950.jpg,0.0
center_2025_04_30_18_11_13_987.jpg,left_2025_04_30_18_11_13_987.jpg,right_2025_04_30_18_11_13_987.jpg,0.0
center_2025_04_30_18_11_14_038.jpg,left_2025_04_30_18_11_14_038.jpg,right_2025_04_30_18_11_14_038.jpg,0.0
center_2025_04_30_18_11_14_081.jpg,left_2025_04_30_18_11_14_081.jpg,right_2025_04_30_18_11_14_081.jpg,0.0
center_2025_04_30_18_11_14_130.jpg,left_2025_04_30_18_11_14_130.jpg,right_2025_04_30_18_11_14_130.jpg,0.0
center_2025_04_30_18_11_14_175.jpg,left_2025_04_30_18_11_14_175.jpg,right_2025_04_30_18_11_14_175.jpg,0.0
center_2025_04_30_18_11_14_223.jpg,left_2025_04_30_18_11_14_223.jpg,right_2025_04_30_18_11_14_223.jpg,0.0
center_2025_04_30_18_11_14_269.jpg,left_2025_04_30_18_11_14_269.jpg,right_2025_04_30_18_11_14_269.jpg,0.0
center_2025_04_30_18_11_14_316.jpg,left_2025_04_30_18_11_14_316.jpg,right_2025_04_30_18_11_14_316.jpg,0.0
center_2025_04_30_18_11_14_362.jpg,left_2025_04_30_18_11_14_362.jpg,right_2025_04_30_18_11_14_362.jpg,0.0
center_2025_04_30_18_11_14_409.jpg,left_2025_04_30_18_11_14_409.jpg,right_2025_04_30_18_11_14_409.jpg,0.0
center_2025_04_30_18_11_14_454.jpg,left_2025_04_30_18_11_14_454.jpg,right_2025_04_30_18_11_14_454.jpg,0.0
center_2025_04_30_18_11_14_502.jpg,left_2025_04_30_18_11_14_502.jpg,right_2025_04_30_18_11_14_502.jpg,0.0
center_2025_04_30_18_11_14_548.jpg,left_2025_04_30_18_11_14_548.jpg,right_2025_04_30_18_11_14_548.jpg,0.0
center_2025_04_30_18_11_14_596.jpg,left_2025_04_30_18_11_14_596.jpg,right_2025_04_30_18_11_14_596.jpg,0.0
